accession,type,species,description,last_update,factors
E-MTAB-8408,differential,Homo sapiens,Differential expression comparing compound,,compound
E-GEOD-92314,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-MTAB-9770,differential,Mus musculus,Differential expression comparing injury,,injury
E-GEOD-83415,differential,Homo sapiens,Differential expression comparing conditions,,
E-CURD-69,differential,Rattus norvegicus,"Differential expression comparing compound, organism part, cohort",,"compound, organism part, cohort"
E-GEOD-115371,differential,Oryza sativa,"Differential expression comparing stimulus, organism part",,"stimulus, organism part"
E-GEOD-98045,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-CURD-73,differential,Rattus norvegicus,"Differential expression comparing compound, organism part, cohort",,"compound, organism part, cohort"
E-MTAB-6436,differential,Homo sapiens,Differential expression comparing conditions,,
E-MTAB-6975,differential,Homo sapiens,Differential expression comparing stimulus,,stimulus
E-MTAB-5638,differential,Homo sapiens,Differential expression comparing disease,,disease
E-GEOD-14668,differential,Homo sapiens,Differential expression comparing disease,,disease
E-GEOD-52707,differential,Homo sapiens,Differential expression comparing conditions,,
E-GEOD-56677,differential,Homo sapiens,Differential expression comparing infect,,infect
E-GEOD-114363,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-CURD-62,differential,Rattus norvegicus,"Differential expression comparing compound, organism part, cohort",,"compound, organism part, cohort"
E-GEOD-111812,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-MTAB-4634,differential,Hordeum vulgare,"Differential expression comparing compound, organism part",,"compound, organism part"
E-GEOD-74905,differential,Mus musculus,Differential expression comparing conditions,,
E-CURD-66,differential,Rattus norvegicus,"Differential expression comparing compound, organism part, cohort",,"compound, organism part, cohort"
E-GEOD-11258,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-111716,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-CURD-70,differential,Rattus norvegicus,"Differential expression comparing compound, organism part, cohort",,"compound, organism part, cohort"
E-GEOD-13044,differential,Mus musculus,"Differential expression comparing compound, organism part",,"compound, organism part"
E-GEOD-95574,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-MTAB-5103,differential,Arabidopsis thaliana,Differential expression comparing environmental stress,,environmental stress
E-CURD-74,differential,Rattus norvegicus,"Differential expression comparing compound, organism part, cohort",,"compound, organism part, cohort"
E-GEOD-2880,differential,Rattus norvegicus,"Differential expression comparing compound, organism part",,"compound, organism part"
E-CURD-43,differential,Zea mays,Differential expression comparing conditions,,
E-MTAB-8699,differential,Drosophila melanogaster,Differential expression comparing conditions,,
E-MTAB-9812,differential,Mus musculus,"Differential expression comparing compound, sex",,"compound, sex"
E-GEOD-32277,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-118102,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-MTAB-7710,differential,Vitis vinifera,Differential expression comparing infect,,infect
E-MTAB-8704,differential,Drosophila melanogaster,Differential expression comparing conditions,,
E-CURD-59,differential,Rattus norvegicus,"Differential expression comparing compound, organism part, cohort",,"compound, organism part, cohort"
E-MTAB-8510,differential,Homo sapiens,Differential expression comparing compound,,compound
E-MTAB-7860,differential,Homo sapiens,"Differential expression comparing disease, organism part, sampling site",,"disease, organism part, sampling site"
E-GEOD-14951,differential,Homo sapiens,Differential expression comparing conditions,,
E-GEOD-38941,differential,Homo sapiens,Differential expression comparing disease,,disease
E-GEOD-66698,differential,Homo sapiens,Differential expression comparing treatment,,treatment
E-GEOD-74000,differential,Homo sapiens,"Differential expression comparing cell line, compound, organism part",,"cell line, compound, organism part, disease"
E-GEOD-62029,differential,Homo sapiens,Differential expression comparing disease,,disease
E-GEOD-63067,differential,Homo sapiens,Differential expression comparing disease,,disease
E-MTAB-8554,differential,Mus musculus,Differential expression comparing phenotype,,phenotype
E-MEXP-1524,differential,Vitis vinifera,Differential expression comparing compound,,compound
E-GEOD-116517,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-MTAB-5146,differential,Ovis aries,Differential expression comparing disease,,disease
E-CURD-67,differential,Rattus norvegicus,"Differential expression comparing compound, organism part, cohort",,"compound, organism part, cohort"
E-MTAB-7221,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-59185,differential,Mus musculus,Differential expression comparing infect,,infect
E-GEOD-106536,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-CURD-71,differential,Rattus norvegicus,"Differential expression comparing compound, organism part, cohort",,"compound, organism part, cohort"
E-MTAB-7233,differential,Mus musculus,Differential expression comparing compound,,compound
E-GEOD-111290,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-MTAB-7200,differential,Zea mays,Differential expression comparing stimulus,,stimulus
E-GEOD-153970,differential,Homo sapiens,Differential expression comparing infect,,infect
E-CURD-75,differential,Rattus norvegicus,"Differential expression comparing compound, organism part, cohort",,"compound, organism part, cohort"
E-GEOD-115951,differential,Arabidopsis thaliana,Differential expression comparing stimulus,,stimulus
E-CURD-28,differential,Oryza sativa,Differential expression comparing conditions,,
E-MTAB-8037,differential,Mus musculus,Differential expression comparing conditions,,
E-MTAB-10055,differential,Mus musculus,Differential expression comparing compound,,compound
E-MTAB-8663,differential,Mus musculus,Differential expression comparing infect,,infect
E-GEOD-98873,differential,Vitis vinifera,"Differential expression comparing stimulus, developmental stage",,"stimulus, developmental stage"
E-MTAB-9419,differential,Solanum lycopersicum,"Differential expression comparing infect, developmental stage",,"infect, developmental stage"
E-GEOD-51720,differential,Arabidopsis thaliana,Differential expression comparing compound,,compound
E-MTAB-8643,differential,Mus musculus,"Differential expression comparing diet, sex",,"diet, sex"
E-CURD-37,differential,Oryza sativa,"Differential expression comparing infect, stimulus",,"infect, stimulus"
E-GEOD-150316,differential,Homo sapiens,"Differential expression comparing disease, organism part",,"disease, organism part"
E-MTAB-10282,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-MTAB-8695,differential,Mus musculus,Differential expression comparing conditions,,
E-MTAB-8366,differential,Mus musculus,Differential expression comparing organism part,,organism part
E-MTAB-8631,differential,Homo sapiens,Differential expression comparing conditions,,
E-MTAB-1925,differential,Homo sapiens,Differential expression comparing disease,,disease
E-MTAB-7032,differential,Homo sapiens,Differential expression comparing compound,,compound
E-MTAB-9362,differential,Homo sapiens,Differential expression comparing compound,,compound
E-MTAB-9721,differential,Homo sapiens,Differential expression comparing conditions,,
E-GEOD-31348,differential,Homo sapiens,Differential expression comparing treatment,,treatment
E-GEOD-27555,differential,Homo sapiens,Differential expression comparing conditions,,
E-GEOD-45042,differential,Homo sapiens,Differential expression comparing infect,,infect
E-GEOD-83148,differential,Homo sapiens,Differential expression comparing disease,,disease
E-GEOD-75852,differential,Homo sapiens,"Differential expression comparing cell type, disease",,"cell type, disease"
E-MTAB-5473,differential,Medicago truncatula,Differential expression comparing infect,,infect
E-MTAB-9694,differential,Arabidopsis thaliana,Differential expression comparing compound,,compound
E-MTAB-9218,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-122495,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-MTAB-8684,differential,Arabidopsis thaliana,"Differential expression comparing stimulus, organism part",,"stimulus, organism part"
E-GEOD-50878,differential,Mus musculus,Differential expression comparing infect,,infect
E-MTAB-8765,differential,Mus musculus,Differential expression comparing stimulus,,stimulus
E-MTAB-8922,differential,Mus musculus,Differential expression comparing conditions,,
E-MTAB-8040,differential,Mus musculus,Differential expression comparing compound,,compound
E-CURD-44,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-MTAB-9181,differential,Mus musculus,Differential expression comparing stimulus,,stimulus
E-GEOD-38487,differential,Zea mays,"Differential expression comparing growth condition, organism part",,"growth condition, organism part"
E-MTAB-8964,differential,Mus musculus,Differential expression comparing conditions,,
E-MTAB-8845,differential,Arabidopsis thaliana,Differential expression comparing infect,,infect
E-GEOD-108627,differential,Zea mays,Differential expression comparing conditions,,
E-MTAB-9147,differential,Caenorhabditis elegans,Differential expression comparing conditions,,
E-GEOD-83411,differential,Zea mays,Differential expression comparing environmental stress,,environmental stress
